taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
1000309	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus furiosus Fiala & Stetter, 1986	Fiala & Stetter, 1986	Pyrococcus furiosus	Pyrococcus	furiosus		species		Int. J. Syst. Bacteriol. 36::573	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
7698467	52a423d2-0486-4e77-bcee-6350d708d6ff	1000165			Halococcus agarilyticus Minegishi et al., 2015	Minegishi et al., 2015	Halococcus agarilyticus	Halococcus	agarilyticus		species		Int. J. Syst. Evol. Microbiol. 65::1638	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
1000179	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum bangense Xu et al., 1999	Xu et al., 1999	Natronorubrum bangense	Natronorubrum	bangense		species		Int. J. Syst. Bacteriol. 49::265	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum
9075614	52a423d2-0486-4e77-bcee-6350d708d6ff	1000171			Halosimplex litoreum Yuan et al., 2015	Yuan et al., 2015	Halosimplex litoreum	Halosimplex	litoreum		species		Int. J. Syst. Evol. Microbiol. 65::3764	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halosimplex
1000311	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus glycovorans Barbier et al., 1999	Barbier et al., 1999	Pyrococcus glycovorans	Pyrococcus	glycovorans		species		Int. J. Syst. Bacteriol. 49::1835	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
4983778	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus saccharolyticus Montero et al., 1990	Montero et al., 1990	Halococcus saccharolyticus	Halococcus	saccharolyticus		species		Int. J. Syst. Bacteriol. 40::105	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
9191210	6cfd67d6-4f9b-400b-8549-1933ac27936f	1000165			Halococcus acetoinfaciens		Halococcus acetoinfaciens	Halococcus	acetoinfaciens		species			accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
4983777	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus salifodinae Denner et al., 1994	Denner et al., 1994	Halococcus salifodinae	Halococcus	salifodinae		species		Int. J. Syst. Bacteriol. 44::779	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halococcus
8414246	52a423d2-0486-4e77-bcee-6350d708d6ff	1000178			Natronorubrum texcoconense Ruiz-Romero et al., 2013	Ruiz-Romero et al., 2013	Natronorubrum texcoconense	Natronorubrum	texcoconense		species		Int. J. Syst. Evol. Microbiol. 63::1578	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum
9075471	52a423d2-0486-4e77-bcee-6350d708d6ff	8741393			Thermogladius calderae Kochetkova et al., 2016	Kochetkova et al., 2016	Thermogladius calderae	Thermogladius	calderae		species		Int. J. Syst. Evol. Microbiol. 66::1411	accepted			Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius
7999516	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus yayanosii Birrien et al., 2011	Birrien et al., 2011	Pyrococcus yayanosii	Pyrococcus	yayanosii		species		Int. J. Syst. Evol. Microbiol. 61::2831	accepted			Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus
8165241	52a423d2-0486-4e77-bcee-6350d708d6ff	1000171			Halosimplex pelagicum Han & Cui, 2014	Han & Cui, 2014	Halosimplex pelagicum	Halosimplex	pelagicum		species		Int. J. Syst. Evol. Microbiol. 64::172	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halosimplex
1000172	7ddf754f-d193-4cc9-b351-99906754a03b	1000171			Halosimplex carlsbadense Vreeland et al., 2003	Vreeland et al., 2003	Halosimplex carlsbadense	Halosimplex	carlsbadense		species		Int. J. Syst. Evol. Microbiol. 53::936	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halosimplex
7986167	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum sediminis Gutiérrez et al., 2010	Gutiérrez et al., 2010	Natronorubrum sediminis	Natronorubrum	sediminis		species		Int. J. Syst. Evol. Microbiol. 60::1805	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronorubrum
1000028	7ddf754f-d193-4cc9-b351-99906754a03b	1000027			Staphylothermus hellenicus Arab et al., 2000	Arab et al., 2000	Staphylothermus hellenicus	Staphylothermus	hellenicus		species		Int. J. Syst. Evol. Microbiol. 50::2106	accepted			Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus
8012258	7ddf754f-d193-4cc9-b351-99906754a03b	4895360			Methanolinea tarda Imachi et al., 2008	Imachi et al., 2008	Methanolinea tarda	Methanolinea	tarda		species		Int. J. Syst. Evol. Microbiol. 58::299	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanolinea
1000080	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Vulcanisaeta Itoh et al., 2002	Itoh et al., 2002	Vulcanisaeta	Vulcanisaeta			genus		Int. J. Syst. Evol. Microbiol. 52::1103	accepted			Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta
1000074	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Pyrobaculum Huber et al., 1988	Huber et al., 1988	Pyrobaculum	Pyrobaculum			genus		Int. J. Syst. Bacteriol. 38::221	accepted			Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum
1000072	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Thermocladium Itoh et al., 1998	Itoh et al., 1998	Thermocladium	Thermocladium			genus		Int. J. Syst. Bacteriol. 48::886	accepted			Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermocladium
1000070	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Caldivirga Itoh et al., 1999	Itoh et al., 1999	Caldivirga	Caldivirga			genus		Int. J. Syst. Bacteriol. 49::1162	accepted			Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga
8337606	52a423d2-0486-4e77-bcee-6350d708d6ff	1000182	7357253		Halobacterium salinarium (Harrison & Kennedy, 1922) Elazari-Volcani, 1957	Elazari-Volcani, 1957 (Harrison & Kennedy, 1922)	Halobacterium salinarium	Halobacterium	salinarium		species		Int. J. Syst. Bacteriol. 30::307	synonym			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium
1000184	52a423d2-0486-4e77-bcee-6350d708d6ff	1000182	7357253		Halobacterium cutirubrum (Lochhead, 1934) Elazari-Volcani, 1957	Elazari-Volcani, 1957 (Lochhead, 1934)	Halobacterium cutirubrum	Halobacterium	cutirubrum		species		Int. J. Syst. Bacteriol. 30::307	synonym			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium
4895335	7ddf754f-d193-4cc9-b351-99906754a03b	4896449			Methermicoccus Cheng et al., 2007	Cheng et al., 2007	Methermicoccus	Methermicoccus			genus		Int. J. Syst. Evol. Microbiol. 57::2968	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methermicoccaceae	Methermicoccus
1000160	7ddf754f-d193-4cc9-b351-99906754a03b	1000153	1000159		Methanococcus jannaschii Jones et al., 1984	Jones et al., 1984	Methanococcus jannaschii	Methanococcus	jannaschii		species		Int. J. Syst. Bacteriol. 34::503	synonym			Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus
1000066	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Thermoproteus Zillig & Stetter, 1982	Zillig & Stetter, 1982	Thermoproteus	Thermoproteus			genus		Int. J. Syst. Bacteriol. 32::267	accepted			Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus
1000422	7ddf754f-d193-4cc9-b351-99906754a03b	3807			Methanopyrus Kurr et al., 1992	Kurr et al., 1992	Methanopyrus	Methanopyrus			genus		Int. J. Syst. Bacteriol. 42::327	accepted			Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus
565	7ddf754f-d193-4cc9-b351-99906754a03b	160			Halobacteriales		Halobacteriales	Halobacteriales			order			accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales		
1000365	52a423d2-0486-4e77-bcee-6350d708d6ff	7790	1000362		Methanosaeta Patel & Sprott, 1990	Patel & Sprott, 1990	Methanosaeta	Methanosaeta			genus		Int. J. Syst. Bacteriol. 40::80	synonym			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix
7924638	52a423d2-0486-4e77-bcee-6350d708d6ff	1000326			Methanococcoides vulcani L'Haridon et al., 2014	L'Haridon et al., 2014	Methanococcoides vulcani	Methanococcoides	vulcani		species		Int. J. Syst. Evol. Microbiol. 64::1982	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
1000133	7ddf754f-d193-4cc9-b351-99906754a03b	1000122			Methanothermobacter marburgensis Wasserfallen et al., 2000	Wasserfallen et al., 2000	Methanothermobacter marburgensis	Methanothermobacter	marburgensis		species		Int. J. Syst. Evol. Microbiol. 50::52	accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
1000050	7ddf754f-d193-4cc9-b351-99906754a03b	7787			Sulfolobus Brock et al., 1972	Brock et al., 1972	Sulfolobus	Sulfolobus			genus		Int. J. Syst. Bacteriol. 30::411	accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
7787	7ddf754f-d193-4cc9-b351-99906754a03b	564			Sulfolobaceae		Sulfolobaceae	Sulfolobaceae			family			accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	
9407771	0938172b-2086-439c-a1dd-c21cb0109ed5	160			Halorubraceae		Halorubraceae	Halorubraceae			family			accepted			Archaea	Euryarchaeota	Halobacteria		Halorubraceae	
9335669	0938172b-2086-439c-a1dd-c21cb0109ed5	160			Haloferacaceae		Haloferacaceae	Haloferacaceae			family		Gupta, R. S.; Naushad, S.; Baker, S. (2014). Phylogenomic analyses and molecular signatures for the class Halobacteria and its two major clades: a proposal for division of the class Halobacteria into an emended order Halobacteriales and two new orders, Haloferacales ord. nov. and Natrialbales ord. nov., containing the novel families Haloferacaceae fam. nov. and Natrialbaceae fam. nov. <em>International Journal of Systematic and Evolutionary Microbiology.</em> 65(Pt 3): 1050-1069.	accepted			Archaea	Euryarchaeota	Halobacteria		Haloferacaceae	
9598310	0938172b-2086-439c-a1dd-c21cb0109ed5	160			Natrialbaceae		Natrialbaceae	Natrialbaceae			family		Gupta, R. S.; Naushad, S.; Baker, S. (2014). Phylogenomic analyses and molecular signatures for the class Halobacteria and its two major clades: a proposal for division of the class Halobacteria into an emended order Halobacteriales and two new orders, Haloferacales ord. nov. and Natrialbales ord. nov., containing the novel families Haloferacaceae fam. nov. and Natrialbaceae fam. nov. <em>International Journal of Systematic and Evolutionary Microbiology.</em> 65(Pt 3): 1050-1069.	accepted			Archaea	Euryarchaeota	Halobacteria		Natrialbaceae	
1000374	7ddf754f-d193-4cc9-b351-99906754a03b	1000373			Methanocorpusculum parvum Zellner et al., 1988	Zellner et al., 1988	Methanocorpusculum parvum	Methanocorpusculum	parvum		species			accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum
1000379	7ddf754f-d193-4cc9-b351-99906754a03b	1000373			Methanocorpusculum bavaricum Zellner et al., 1989	Zellner et al., 1989	Methanocorpusculum bavaricum	Methanocorpusculum	bavaricum		species		Int. J. Syst. Bacteriol. 39::371	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum
1000329	7ddf754f-d193-4cc9-b351-99906754a03b	1000326			Methanococcoides burtonii Franzmann et al., 1993	Franzmann et al., 1993	Methanococcoides burtonii	Methanococcoides	burtonii		species		Int. J. Syst. Bacteriol. 43::398	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides
1000139	7ddf754f-d193-4cc9-b351-99906754a03b	1000137			Methanothermus sociabilis Stetter, 1986	Stetter, 1986	Methanothermus sociabilis	Methanothermus	sociabilis		species		Int. J. Syst. Bacteriol. 36::573	accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus
1000054	7ddf754f-d193-4cc9-b351-99906754a03b	1000050			Sulfolobus shibatae Grogan et al., 1991	Grogan et al., 1991	Sulfolobus shibatae	Sulfolobus	shibatae		species		Int. J. Syst. Bacteriol. 41::457	accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
1000051	7ddf754f-d193-4cc9-b351-99906754a03b	1000050			Sulfolobus yangmingensis Jan et al., 1999	Jan et al., 1999	Sulfolobus yangmingensis	Sulfolobus	yangmingensis		species		Int. J. Syst. Bacteriol. 49::1815	accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
1000371	52a423d2-0486-4e77-bcee-6350d708d6ff	1000362			Methanosaeta harundinacea Ma et al., 2006	Ma et al., 2006	Methanosaeta harundinacea	Methanosaeta	harundinacea		species		Int. J. Syst. Evol. Microbiol. 56::130	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix
1000127	7ddf754f-d193-4cc9-b351-99906754a03b	1000122		1000128	Methanothermobacter defluvii (Kotelnikova et al., 1994) Boone, 2002	Boone, 2002 (Kotelnikova et al., 1994)	Methanothermobacter defluvii	Methanothermobacter	defluvii		species		Int. J. Syst. Evol. Microbiol. 52::686	accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
1000129	7ddf754f-d193-4cc9-b351-99906754a03b	1000122			Methanothermobacter wolfeii (Winter et al., 1985) Wasserfallen et al., 2000	Wasserfallen et al., 2000 (Winter et al., 1985)	Methanothermobacter wolfeii	Methanothermobacter	wolfeii		species		Int. J. Syst. Evol. Microbiol. 50::51	accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter
1000138	7ddf754f-d193-4cc9-b351-99906754a03b	1000137			Methanothermus fervidus Stetter, 1982	Stetter, 1982	Methanothermus fervidus	Methanothermus	fervidus		species		Int. J. Syst. Bacteriol. 32::267	accepted			Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus
1000055	7ddf754f-d193-4cc9-b351-99906754a03b	1000050			Sulfolobus metallicus Huber & Stetter, 1992	Huber & Stetter, 1992	Sulfolobus metallicus	Sulfolobus	metallicus		species		Int. J. Syst. Bacteriol. 42::191	accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
1000053	7ddf754f-d193-4cc9-b351-99906754a03b	1000050			Sulfolobus acidocaldarius Brock et al., 1972	Brock et al., 1972	Sulfolobus acidocaldarius	Sulfolobus	acidocaldarius		species		Int. J. Syst. Bacteriol. 30::411	accepted			Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus
8059040	7ddf754f-d193-4cc9-b351-99906754a03b	1000390			Methanoculleus receptaculi Cheng et al., 2008	Cheng et al., 2008	Methanoculleus receptaculi	Methanoculleus	receptaculi		species		Int. J. Syst. Evol. Microbiol. 58::2471	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
7641274	7ddf754f-d193-4cc9-b351-99906754a03b	1000362			Methanothrix thermoacetophila Nozhevnikova & Chudina, 1988	Nozhevnikova & Chudina, 1988	Methanothrix thermoacetophila	Methanothrix	thermoacetophila		species		Int. J. Syst. Bacteriol. 38::220	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix
1000086	7ddf754f-d193-4cc9-b351-99906754a03b	1000085			Picrophilus torridus Zillig et al., 1996	Zillig et al., 1996	Picrophilus torridus	Picrophilus	torridus		species		Int. J. Syst. Bacteriol. 46::816	accepted			Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus
7999710	52a423d2-0486-4e77-bcee-6350d708d6ff	1000390			Methanoculleus taiwanensis Weng et al., 2015	Weng et al., 2015	Methanoculleus taiwanensis	Methanoculleus	taiwanensis		species		Int. J. Syst. Evol. Microbiol. 65::1048	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
8272406	7ddf754f-d193-4cc9-b351-99906754a03b	1000390			Methanoculleus hydrogenitrophicus Tian et al., 2010	Tian et al., 2010	Methanoculleus hydrogenitrophicus	Methanoculleus	hydrogenitrophicus		species		Int. J. Syst. Evol. Microbiol. 60::2168	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
8289550	52a423d2-0486-4e77-bcee-6350d708d6ff	5901082			Halopelagius longus Zhang et al., 2013	Zhang et al., 2013	Halopelagius longus	Halopelagius	longus		species		Int. J. Syst. Evol. Microbiol. 63::3589	accepted			Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halopelagius
1000391	7ddf754f-d193-4cc9-b351-99906754a03b	1000390			Methanoculleus submarinus Mikucki et al., 2003	Mikucki et al., 2003	Methanoculleus submarinus	Methanoculleus	submarinus		species		Int. J. Syst. Evol. Microbiol. 53::1701	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
1000402	7ddf754f-d193-4cc9-b351-99906754a03b	1000390			Methanoculleus chikugoensis Dianou et al., 2001	Dianou et al., 2001	Methanoculleus chikugoensis	Methanoculleus	chikugoensis		species		Int. J. Syst. Evol. Microbiol. 51::1667	accepted			Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus
