datasetID	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	thermophila
GTDB_ar122_taxonomy_r95	Archaea	Aenigmatarchaeota	Aenigmatarchaeia	CG10238-14	CG10238-14	CG10238-14	sp002789635
GTDB_ar122_taxonomy_r95	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Sulfolobaceae	Saccharolobus	sp001719125
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	UBA447	sp002503205
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	tropicale
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	hispanica
GTDB_ar122_taxonomy_r95	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	UBA10452	sp002501855
GTDB_ar122_taxonomy_r95	Archaea	Methanobacteriota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	maripaludis
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-N1	sp002505695
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	marismortui
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Poseidoniaceae	MGIIa-K2	sp002719395
GTDB_ar122_taxonomy_r95	Archaea	Thermoproteota	Thermoproteia	Marsarchaeales	Marsarchaeaceae	ECH-B-1	sp003019535
GTDB_ar122_taxonomy_r95	Archaea	Micrarchaeota	Micrarchaeia	UBA8480	UBA93	UBA93	sp002792915
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix_A	sp001602645
GTDB_ar122_taxonomy_r95	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	UBA73	CG1-02-35-32	sp002792635
GTDB_ar122_taxonomy_r95	Archaea	Nanoarchaeota	Nanoarchaeia	Pacearchaeales	GW2011-AR1	GW2011-AR1	sp002762735
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	E2	DHVEG-1	DHVEG-1	SM1-50	sp002496355
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	UBA71	sp002506425
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-P	sp002498455
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanolinea	sp002506105
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	Thalassarchaeum	sp002714745
GTDB_ar122_taxonomy_r95	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosotenuis	sp002499525
GTDB_ar122_taxonomy_r95	Archaea	Thermoproteota	Thermoproteia	Gearchaeales	Gearchaeaceae	SCGC-AAA471-B05	sp000380705
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-O3	sp001628485
GTDB_ar122_taxonomy_r95	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	GW2011-AR4	GW2011-AR11	sp12027u
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-O2	sp002504905
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Thermoplasmata	Methanomassiliicoccales	Methanomethylophilaceae	VadinCA11	sp002505345
GTDB_ar122_taxonomy_r95	Archaea	Nanoarchaeota	Nanoarchaeia	Parvarchaeales	Parvarchaeaceae	Parvarchaeum	sp002503215
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-O5	sp002502095
GTDB_ar122_taxonomy_r95	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	formicicum
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Poseidoniaceae	MGIIa-L1	sp002729095
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	sp002502245
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	Thalassarchaeum	sp002503055
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	Thalassarchaeum	betae
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	marisnigri_B
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-O5	sp002730095
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Acidiplasma	aeolicum
GTDB_ar122_taxonomy_r95	Archaea	Altarchaeota	Altarchaeia	Altarchaeales	Altarchaeaceae	Altarchaeum	sp001873845
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Methanosarcinia	MethanosarcinaleA	Methermicoccaceae	Methermicoccus	shengliensis
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	distributum
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	sp002507545
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Halobacteria	Halobacteriales	UBA12382	UBA12382	sp002503845
GTDB_ar122_taxonomy_r95	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanothermobacteraceae	Methanothermobacter	thermautotrophicus
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Poseidoniaceae	MGIIa-L2	sp002499195
GTDB_ar122_taxonomy_r95	Archaea	Nanoarchaeota	Nanoarchaeia	Parvarchaeales	Parvarchaeaceae	Parvarchaeum	sp002502045
GTDB_ar122_taxonomy_r95	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter_A	sp900314695
GTDB_ar122_taxonomy_r95	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium_B	sp003158115
GTDB_ar122_taxonomy_r95	Archaea	Micrarchaeota	Micrarchaeia	UBA8480	UBA93	UBA95	sp002499405
GTDB_ar122_taxonomy_r95	Archaea	Thermoplasmatota	Poseidoniia	Poseidoniales	Thalassarchaeaceae	MGIIb-O2	sp002686525
GTDB_ar122_taxonomy_r95	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	bourgensis
