taxonID	parentNameUsageID	acceptedNameUsageID	nomenclaturalCode	scientificName	scientificNameAuthorship	taxonomicStatus	taxonRank	datasetID	nomenclaturalStatus	specificEpithet	infraspecificEpithet	nameAccordingTo	namePublishedIn	taxonRemarks	genericName	canonicalName	originalNameUsageID
4983777	1000165		BC	Halococcus salifodinae	"Denner et al., 1994"	accepted	species	7ddf754f-d193-4cc9-b351-99906754a03b		salifodinae			Int. J. Syst. Bacteriol. 44::779		Halococcus	Halococcus salifodinae	
GTDB:b3d99722b65c67582032bc0ba6bd4197	GTDB:4e52b04254ef3b16c6b0577657129ce3		BC	Halococcus sediminicola		accepted	species	GTDB_ar122_taxonomy_r95									
7800119	1000165		BC	Halococcus sediminicola	"Yim et al., 2014"	accepted	species	52a423d2-0486-4e77-bcee-6350d708d6ff		sediminicola			Int. J. Syst. Evol. Microbiol. 64::1455		Halococcus	Halococcus sediminicola	
GTDB:af1d3ae155e02f6b1c477c6c180c9dce	GTDB:4e52b04254ef3b16c6b0577657129ce3		BC	Halococcus sp003021045		accepted	species	GTDB_ar122_taxonomy_r95						Placeholder name has been treated as unique.			
GTDB:6f6b57f451247e72a0efb09cb7f19662	GTDB:4e52b04254ef3b16c6b0577657129ce3		BC	Halococcus sp003021235		accepted	species	GTDB_ar122_taxonomy_r95						Placeholder name has been treated as unique.			
GTDB:750ff0523c6fd3681e0e6e881d0aa45c	GTDB:4e52b04254ef3b16c6b0577657129ce3		BC	Halococcus sp003021705		accepted	species	GTDB_ar122_taxonomy_r95						Placeholder name has been treated as unique.			
GTDB:ddac9128cfc2d9b1ce3d6f0436cfd036	GTDB:4e52b04254ef3b16c6b0577657129ce3		BC	Halococcus sp003021725		accepted	species	GTDB_ar122_taxonomy_r95						Placeholder name has been treated as unique.			
GTDB:448f0866e48ff45597b0413bbf6ff99a	GTDB:4e52b04254ef3b16c6b0577657129ce3		BC	Halococcus sp003022685		accepted	species	GTDB_ar122_taxonomy_r95						Placeholder name has been treated as unique.			
GTDB:645f1bd26c5f721680cba2d1ef870968	GTDB:4e52b04254ef3b16c6b0577657129ce3		BC	Halococcus sp003022925		accepted	species	GTDB_ar122_taxonomy_r95						Placeholder name has been treated as unique.			
GTDB:97e5d1c59233e0c0198af7a55e9ec1cd	GTDB:4e52b04254ef3b16c6b0577657129ce3		BC	Halococcus sp003602035		accepted	species	GTDB_ar122_taxonomy_r95						Placeholder name has been treated as unique.			
GTDB:6a637e69b3c9357813d0f0ae50b79af2	GTDB:4e52b04254ef3b16c6b0577657129ce3		BC	Halococcus thailandensis		accepted	species	GTDB_ar122_taxonomy_r95									
7544901	1000165		BC	Halococcus thailandensis	"Namwong et al., 2007"	accepted	species	7ddf754f-d193-4cc9-b351-99906754a03b		thailandensis			Int. J. Syst. Evol. Microbiol. 57::2202		Halococcus	Halococcus thailandensis	
ALA_The_Unknown_Taxon			ICZN	The Unknown Taxon		inferredUnplaced	unranked	SBDI						A taxon introduced to catch cases where parent or accepted taxa cannot be resolved. Taxa that synonymise to this taxon or have it as a parent have a problem with the provided data, usually in the form of a loop of synonyms.			
