taxonID	taxonID	nomenclaturalCode	scientificName	scientificNameAuthorship	taxonomicStatus	taxonRank	datasetID	priority	nomenclaturalStatus	nameAccordingTo	namePublishedIn	taxonRemarks	provenance	verbatimNomenclaturalCode	verbatimTaxonomicStatus	verbatimNomenclaturalStatus	verbatimTaxonRemarks
GTDB:b17191f882f8d78f73e574c6432c5b80	4983780		Halococcus morrhuae	"Kocur & Hodgkiss, 1973 (Farlow, 1880)"	accepted	species	7ddf754f-d193-4cc9-b351-99906754a03b	0			Int. J. Syst. Bacteriol. 30::307		Bare scientific name reallocated to Halococcus morrhuae by taxonomy builder		accepted		
GTDB:b17191f882f8d78f73e574c6432c5b80	GTDB:b17191f882f8d78f73e574c6432c5b80	BC	Halococcus morrhuae		accepted	species	GTDB_ar122_taxonomy_r95	0						BC	accepted		
GTDB:1b91f1097cdcc2209b7bf58c687df257	GTDB:1b91f1097cdcc2209b7bf58c687df257	BC	Halococcus saccharolyticus		accepted	species	GTDB_ar122_taxonomy_r95	0						BC	accepted		
GTDB:1b91f1097cdcc2209b7bf58c687df257	4983778		Halococcus saccharolyticus	"Montero et al., 1990"	accepted	species	7ddf754f-d193-4cc9-b351-99906754a03b	0			Int. J. Syst. Bacteriol. 40::105		Bare scientific name reallocated to Halococcus saccharolyticus by taxonomy builder		accepted		
GTDB:93f30bca56a26bd85707cc771ca6dadc	GTDB:93f30bca56a26bd85707cc771ca6dadc	BC	Halococcus salifodinae		accepted	species	GTDB_ar122_taxonomy_r95	0						BC	accepted		
GTDB:93f30bca56a26bd85707cc771ca6dadc	4983777		Halococcus salifodinae	"Denner et al., 1994"	accepted	species	7ddf754f-d193-4cc9-b351-99906754a03b	0			Int. J. Syst. Bacteriol. 44::779		Bare scientific name reallocated to Halococcus salifodinae by taxonomy builder		accepted		
GTDB:b3d99722b65c67582032bc0ba6bd4197	GTDB:b3d99722b65c67582032bc0ba6bd4197	BC	Halococcus sediminicola		accepted	species	GTDB_ar122_taxonomy_r95	0						BC	accepted		
GTDB:b3d99722b65c67582032bc0ba6bd4197	7800119		Halococcus sediminicola	"Yim et al., 2014"	accepted	species	52a423d2-0486-4e77-bcee-6350d708d6ff	0			Int. J. Syst. Evol. Microbiol. 64::1455		Bare scientific name reallocated to Halococcus sediminicola by taxonomy builder		accepted		
GTDB:af1d3ae155e02f6b1c477c6c180c9dce	GTDB:af1d3ae155e02f6b1c477c6c180c9dce	BC	Halococcus sp003021045		accepted	species	GTDB_ar122_taxonomy_r95	-200				Placeholder name has been treated as unique.		BC	accepted		
GTDB:6f6b57f451247e72a0efb09cb7f19662	GTDB:6f6b57f451247e72a0efb09cb7f19662	BC	Halococcus sp003021235		accepted	species	GTDB_ar122_taxonomy_r95	-200				Placeholder name has been treated as unique.		BC	accepted		
GTDB:750ff0523c6fd3681e0e6e881d0aa45c	GTDB:750ff0523c6fd3681e0e6e881d0aa45c	BC	Halococcus sp003021705		accepted	species	GTDB_ar122_taxonomy_r95	-200				Placeholder name has been treated as unique.		BC	accepted		
GTDB:ddac9128cfc2d9b1ce3d6f0436cfd036	GTDB:ddac9128cfc2d9b1ce3d6f0436cfd036	BC	Halococcus sp003021725		accepted	species	GTDB_ar122_taxonomy_r95	-200				Placeholder name has been treated as unique.		BC	accepted		
GTDB:448f0866e48ff45597b0413bbf6ff99a	GTDB:448f0866e48ff45597b0413bbf6ff99a	BC	Halococcus sp003022685		accepted	species	GTDB_ar122_taxonomy_r95	-200				Placeholder name has been treated as unique.		BC	accepted		
GTDB:645f1bd26c5f721680cba2d1ef870968	GTDB:645f1bd26c5f721680cba2d1ef870968	BC	Halococcus sp003022925		accepted	species	GTDB_ar122_taxonomy_r95	-200				Placeholder name has been treated as unique.		BC	accepted		
GTDB:97e5d1c59233e0c0198af7a55e9ec1cd	GTDB:97e5d1c59233e0c0198af7a55e9ec1cd	BC	Halococcus sp003602035		accepted	species	GTDB_ar122_taxonomy_r95	-200				Placeholder name has been treated as unique.		BC	accepted		
GTDB:6a637e69b3c9357813d0f0ae50b79af2	GTDB:6a637e69b3c9357813d0f0ae50b79af2	BC	Halococcus thailandensis		accepted	species	GTDB_ar122_taxonomy_r95	0						BC	accepted		
GTDB:6a637e69b3c9357813d0f0ae50b79af2	7544901		Halococcus thailandensis	"Namwong et al., 2007"	accepted	species	7ddf754f-d193-4cc9-b351-99906754a03b	0			Int. J. Syst. Evol. Microbiol. 57::2202		Bare scientific name reallocated to Halococcus thailandensis by taxonomy builder		accepted		
ALA_The_Unknown_Taxon	ALA_The_Unknown_Taxon	ICZN	The Unknown Taxon		inferredUnplaced	unranked	SBDI	-520				A taxon introduced to catch cases where parent or accepted taxa cannot be resolved. Taxa that synonymise to this taxon or have it as a parent have a problem with the provided data, usually in the form of a loop of synonyms.					
