taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	nomenclaturalCode
8043407	7ddf754f-d193-4cc9-b351-99906754a03b	7965877			Methanoregula boonei	"Bräuer et al., 2011"	Methanoregula boonei	Methanoregula	boonei		species		Int. J. Syst. Evol. Microbiol. 61::51	accepted			BC
7492426	7ddf754f-d193-4cc9-b351-99906754a03b	4895360			Methanolinea mesophila	"Sakai et al., 2012"	Methanolinea mesophila	Methanolinea	mesophila		species		Int. J. Syst. Evol. Microbiol. 62::1393	accepted			BC
9011739	6cfd67d6-4f9b-400b-8549-1933ac27936f	1000165			Halococcus nondenitrificans		Halococcus nondenitrificans	Halococcus	nondenitrificans		species			accepted			BC
1000180	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum tibetense	"Xu et al., 1999"	Natronorubrum tibetense	Natronorubrum	tibetense		species		Int. J. Syst. Bacteriol. 49::265	accepted			BC
7608408	52a423d2-0486-4e77-bcee-6350d708d6ff	1000171			Halosimplex rubrum	"Han & Cui, 2014"	Halosimplex rubrum	Halosimplex	rubrum		species		Int. J. Syst. Evol. Microbiol. 64::173	accepted			BC
4983779	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus hamelinensis	"Goh et al., 2006"	Halococcus hamelinensis	Halococcus	hamelinensis		species		Int. J. Syst. Evol. Microbiol. 56::1328	accepted			BC
1000181	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum aibiense	"Cui et al., 2006"	Natronorubrum aibiense	Natronorubrum	aibiense		species		Int. J. Syst. Evol. Microbiol. 56::1517	accepted			BC
9635755	52a423d2-0486-4e77-bcee-6350d708d6ff	1000308			Pyrococcus kukulkanii	"Callac et al., 2016"	Pyrococcus kukulkanii	Pyrococcus	kukulkanii		species		Int. J. Syst. Evol. Microbiol. 66::3148	accepted			BC
1000309	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus furiosus	"Fiala & Stetter, 1986"	Pyrococcus furiosus	Pyrococcus	furiosus		species		Int. J. Syst. Bacteriol. 36::573	accepted			BC
7698467	52a423d2-0486-4e77-bcee-6350d708d6ff	1000165			Halococcus agarilyticus	"Minegishi et al., 2015"	Halococcus agarilyticus	Halococcus	agarilyticus		species		Int. J. Syst. Evol. Microbiol. 65::1638	accepted			BC
1000179	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum bangense	"Xu et al., 1999"	Natronorubrum bangense	Natronorubrum	bangense		species		Int. J. Syst. Bacteriol. 49::265	accepted			BC
9075614	52a423d2-0486-4e77-bcee-6350d708d6ff	1000171			Halosimplex litoreum	"Yuan et al., 2015"	Halosimplex litoreum	Halosimplex	litoreum		species		Int. J. Syst. Evol. Microbiol. 65::3764	accepted			BC
1000311	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus glycovorans	"Barbier et al., 1999"	Pyrococcus glycovorans	Pyrococcus	glycovorans		species		Int. J. Syst. Bacteriol. 49::1835	accepted			BC
4983778	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus saccharolyticus	"Montero et al., 1990"	Halococcus saccharolyticus	Halococcus	saccharolyticus		species		Int. J. Syst. Bacteriol. 40::105	accepted			BC
9191210	6cfd67d6-4f9b-400b-8549-1933ac27936f	1000165			Halococcus acetoinfaciens		Halococcus acetoinfaciens	Halococcus	acetoinfaciens		species			accepted			BC
4983777	7ddf754f-d193-4cc9-b351-99906754a03b	1000165			Halococcus salifodinae	"Denner et al., 1994"	Halococcus salifodinae	Halococcus	salifodinae		species		Int. J. Syst. Bacteriol. 44::779	accepted			BC
8414246	52a423d2-0486-4e77-bcee-6350d708d6ff	1000178			Natronorubrum texcoconense	"Ruiz-Romero et al., 2013"	Natronorubrum texcoconense	Natronorubrum	texcoconense		species		Int. J. Syst. Evol. Microbiol. 63::1578	accepted			BC
9075471	52a423d2-0486-4e77-bcee-6350d708d6ff	8741393			Thermogladius calderae	"Kochetkova et al., 2016"	Thermogladius calderae	Thermogladius	calderae		species		Int. J. Syst. Evol. Microbiol. 66::1411	accepted			BC
7999516	7ddf754f-d193-4cc9-b351-99906754a03b	1000308			Pyrococcus yayanosii	"Birrien et al., 2011"	Pyrococcus yayanosii	Pyrococcus	yayanosii		species		Int. J. Syst. Evol. Microbiol. 61::2831	accepted			BC
8165241	52a423d2-0486-4e77-bcee-6350d708d6ff	1000171			Halosimplex pelagicum	"Han & Cui, 2014"	Halosimplex pelagicum	Halosimplex	pelagicum		species		Int. J. Syst. Evol. Microbiol. 64::172	accepted			BC
1000172	7ddf754f-d193-4cc9-b351-99906754a03b	1000171			Halosimplex carlsbadense	"Vreeland et al., 2003"	Halosimplex carlsbadense	Halosimplex	carlsbadense		species		Int. J. Syst. Evol. Microbiol. 53::936	accepted			BC
7986167	7ddf754f-d193-4cc9-b351-99906754a03b	1000178			Natronorubrum sediminis	"Gutiérrez et al., 2010"	Natronorubrum sediminis	Natronorubrum	sediminis		species		Int. J. Syst. Evol. Microbiol. 60::1805	accepted			BC
1000028	7ddf754f-d193-4cc9-b351-99906754a03b	1000027			Staphylothermus hellenicus	"Arab et al., 2000"	Staphylothermus hellenicus	Staphylothermus	hellenicus		species		Int. J. Syst. Evol. Microbiol. 50::2106	accepted			BC
8012258	7ddf754f-d193-4cc9-b351-99906754a03b	4895360			Methanolinea tarda	"Imachi et al., 2008"	Methanolinea tarda	Methanolinea	tarda		species		Int. J. Syst. Evol. Microbiol. 58::299	accepted			BC
1000080	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Vulcanisaeta	"Itoh et al., 2002"	Vulcanisaeta	Vulcanisaeta			genus		Int. J. Syst. Evol. Microbiol. 52::1103	accepted			BC
1000074	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Pyrobaculum	"Huber et al., 1988"	Pyrobaculum	Pyrobaculum			genus		Int. J. Syst. Bacteriol. 38::221	accepted			BC
1000072	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Thermocladium	"Itoh et al., 1998"	Thermocladium	Thermocladium			genus		Int. J. Syst. Bacteriol. 48::886	accepted			BC
1000070	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Caldivirga	"Itoh et al., 1999"	Caldivirga	Caldivirga			genus		Int. J. Syst. Bacteriol. 49::1162	accepted			BC
8337606	52a423d2-0486-4e77-bcee-6350d708d6ff	1000182	7357253		Halobacterium salinarium	"Elazari-Volcani, 1957 (Harrison & Kennedy, 1922)"	Halobacterium salinarium	Halobacterium	salinarium		species		Int. J. Syst. Bacteriol. 30::307	synonym			BC
1000184	52a423d2-0486-4e77-bcee-6350d708d6ff	1000182	7357253		Halobacterium cutirubrum	"Elazari-Volcani, 1957 (Lochhead, 1934)"	Halobacterium cutirubrum	Halobacterium	cutirubrum		species		Int. J. Syst. Bacteriol. 30::307	synonym			BC
4895335	7ddf754f-d193-4cc9-b351-99906754a03b	4896449			Methermicoccus	"Cheng et al., 2007"	Methermicoccus	Methermicoccus			genus		Int. J. Syst. Evol. Microbiol. 57::2968	accepted			BC
1000160	7ddf754f-d193-4cc9-b351-99906754a03b	1000153	1000159		Methanococcus jannaschii	"Jones et al., 1984"	Methanococcus jannaschii	Methanococcus	jannaschii		species		Int. J. Syst. Bacteriol. 34::503	synonym			BC
1000066	7ddf754f-d193-4cc9-b351-99906754a03b	3798			Thermoproteus	"Zillig & Stetter, 1982"	Thermoproteus	Thermoproteus			genus		Int. J. Syst. Bacteriol. 32::267	accepted			BC
1000422	7ddf754f-d193-4cc9-b351-99906754a03b	3807			Methanopyrus	"Kurr et al., 1992"	Methanopyrus	Methanopyrus			genus		Int. J. Syst. Bacteriol. 42::327	accepted			BC
565	7ddf754f-d193-4cc9-b351-99906754a03b	160			Halobacteriales		Halobacteriales	Halobacteriales			order			accepted			BC
1000365	52a423d2-0486-4e77-bcee-6350d708d6ff	7790	1000362		Methanosaeta	"Patel & Sprott, 1990"	Methanosaeta	Methanosaeta			genus		Int. J. Syst. Bacteriol. 40::80	synonym			BC
7924638	52a423d2-0486-4e77-bcee-6350d708d6ff	1000326			Methanococcoides vulcani	"L'Haridon et al., 2014"	Methanococcoides vulcani	Methanococcoides	vulcani		species		Int. J. Syst. Evol. Microbiol. 64::1982	accepted			BC
1000133	7ddf754f-d193-4cc9-b351-99906754a03b	1000122			Methanothermobacter marburgensis	"Wasserfallen et al., 2000"	Methanothermobacter marburgensis	Methanothermobacter	marburgensis		species		Int. J. Syst. Evol. Microbiol. 50::52	accepted			BC
1000050	7ddf754f-d193-4cc9-b351-99906754a03b	7787			Sulfolobus	"Brock et al., 1972"	Sulfolobus	Sulfolobus			genus		Int. J. Syst. Bacteriol. 30::411	accepted			BC
7787	7ddf754f-d193-4cc9-b351-99906754a03b	564			Sulfolobaceae		Sulfolobaceae	Sulfolobaceae			family			accepted			BC
9407771	0938172b-2086-439c-a1dd-c21cb0109ed5	160			Halorubraceae		Halorubraceae	Halorubraceae			family			accepted			BC
9335669	0938172b-2086-439c-a1dd-c21cb0109ed5	160			Haloferacaceae		Haloferacaceae	Haloferacaceae			family		"Gupta, R. S.; Naushad, S.; Baker, S. (2014). Phylogenomic analyses and molecular signatures for the class Halobacteria and its two major clades: a proposal for division of the class Halobacteria into an emended order Halobacteriales and two new orders, Haloferacales ord. nov. and Natrialbales ord. nov., containing the novel families Haloferacaceae fam. nov. and Natrialbaceae fam. nov. <em>International Journal of Systematic and Evolutionary Microbiology.</em> 65(Pt 3): 1050-1069."	accepted			BC
9598310	0938172b-2086-439c-a1dd-c21cb0109ed5	160			Natrialbaceae		Natrialbaceae	Natrialbaceae			family		"Gupta, R. S.; Naushad, S.; Baker, S. (2014). Phylogenomic analyses and molecular signatures for the class Halobacteria and its two major clades: a proposal for division of the class Halobacteria into an emended order Halobacteriales and two new orders, Haloferacales ord. nov. and Natrialbales ord. nov., containing the novel families Haloferacaceae fam. nov. and Natrialbaceae fam. nov. <em>International Journal of Systematic and Evolutionary Microbiology.</em> 65(Pt 3): 1050-1069."	accepted			BC
1000374	7ddf754f-d193-4cc9-b351-99906754a03b	1000373			Methanocorpusculum parvum	"Zellner et al., 1988"	Methanocorpusculum parvum	Methanocorpusculum	parvum		species			accepted			BC
1000379	7ddf754f-d193-4cc9-b351-99906754a03b	1000373			Methanocorpusculum bavaricum	"Zellner et al., 1989"	Methanocorpusculum bavaricum	Methanocorpusculum	bavaricum		species		Int. J. Syst. Bacteriol. 39::371	accepted			BC
