taxonID	vernacularName	language	country	countryCode	sex	lifeStage	source	datasetID
2	arkebakterier	sv	Sweden	SE			Dyntaxa. Svensk taxonomisk databas	
2	arkéer	sv	Sweden	SE			Dyntaxa. Svensk taxonomisk databas	
